PlayerID,LastName,FirstName,Bats,Pitches,Team,X7
hallb103,Hall,Bob,R,R,BSN,P
hartr101,Hartsfield,Roy,R,R,BSN,2B
hogub101,Hogue,Bobby,R,R,BSN,P
holmt101,Holmes,Tommy,L,L,BSN,OF
jeths101,Jethroe,Sam,B,R,BSN,OF
johne101,Johnson,Ernie,R,R,BSN,P
kerrb101,Kerr,Buddy,R,R,BSN,SS
lindw101,Linden,Walt,R,R,BSN,C
manvd101,Manville,Dick,R,R,BSN,P
marsw101,Marshall,Willard,L,R,BSN,OF
maucg101,Mauch,Gene,R,R,BSN,2B
olmol101,Olmo,Luis,R,R,BSN,OF
reisp101,Reiser,Pete,L,R,BSN,OF
roy-n101,Roy,Normie,R,R,BSN,P
ryanc102,Ryan,Connie,R,R,BSN,2B
sainj101,Sain,Johnny,R,R,BSN,P
sists101,Sisti,Sibby,R,R,BSN,SS
spahw101,Spahn,Warren,L,L,BSN,P
surkm101,Surkont,Max,R,R,BSN,P
torge101,Torgeson,Earl,L,L,BSN,1B
verbe101,Verban,Emil,R,R,BSN,2B
wallm101,Wall,Murray,R,R,BSN,P
waltb102,Walters,Bucky,R,R,BSN,P
adamh101,Adams,Herb,L,L,CHA,OF
aloml101,Aloma,Luis,R,R,CHA,P
appll101,Appling,Luke,R,R,CHA,SS
bakef103,Baker,Floyd,L,R,CHA,3B
brunj101,Bruner,Jack,L,L,CHA,P
busbj101,Busby,Jim,R,R,CHA,OF
cainb101,Cain,Bob,L,L,CHA,P
carrc105,Carrasquel,Chico,R,R,CHA,SS
connb103,Connelly,Bill,L,R,CHA,P
cuelc101,Cuellar,Charlie,R,R,CHA,P
erauj101,Erautt,Joe,R,R,CHA,C
fox-n101,Fox,Nellie,L,R,CHA,2B
goldg101,Goldsberry,Gordon,L,L,CHA,1B
gumpr101,Gumpert,Randy,R,R,CHA,P
haefm101,Haefner,Mickey,L,L,CHA,P
holck101,Holcombe,Ken,R,R,CHA,P
judsh101,Judson,Howie,R,R,CHA,P
kerig101,Keriazakos,Gus,R,R,CHA,P
kirrj101,Kirrene,Joe,R,R,CHA,3B
kozaa101,Kozar,Al,R,R,CHA,2B
kresc101,Kress,Chuck,L,L,CHA,1B
kretl101,Kretlow,Lou,R,R,CHA,P
kuzab101,Kuzava,Bob,B,L,CHA,P
majeh101,Majeski,Hank,R,R,CHA,3B
maloe101,Malone,Eddie,R,R,CHA,C
masip101,Masi,Phil,R,R,CHA,C
mccom101,McCormick,Mike,R,R,CHA,OF
mcghe101,McGhee,Ed,R,R,CHA,OF
michc101,Michaels,Cass,R,R,CHA,2B
niarg101,Niarhos,Gus,R,R,CHA,C
ostrj102,Ostrowski,Johnny,R,R,CHA,OF
perkj101,Perkovich,John,R,R,CHA,P
phild102,Philley,Dave,B,R,CHA,OF
pierb101,Pierce,Billy,L,L,CHA,P
rickm101,Rickert,Marv,L,R,CHA,OF
robie101,Robinson,Eddie,L,R,CHA,1B
rotbm101,Rotblatt,Marv,B,L,CHA,P
salkb101,Salkeld,Bill,L,R,CHA,C
scalj102,Scala,Jerry,L,R,CHA,OF
scarr102,Scarborough,Ray,R,R,CHA,P
wighb101,Wight,Bill,L,L,CHA,P
wilsb103,Wilson,Bill,R,R,CHA,OF
zerng101,Zernial,Gus,R,R,CHA,OF
borkb101,Borkowski,Bob,R,R,CHN,OF
cavap101,Cavarretta,Phil,L,L,CHN,1B
chith101,Chiti,Harry,R,R,CHN,C
dubim101,Dubiel,Monk,R,R,CHN,P
edwah101,Edwards,Hank,L,L,CHN,OF
hackw102,Hacker,Warren,R,R,CHN,P
hillf101,Hiller,Frank,R,R,CHN,P
jackr102,Jackson,Randy,R,R,CHN,3B
jeffh101,Jeffcoat,Hal,R,R,CHN,OF
klipj101,Klippstein,Johnny,R,R,CHN,P
laded101,Lade,Doyle,R,R,CHN,P
leond103,Leonard,Dutch,R,R,CHN,P
maurc101,Mauro,Carmen,L,R,CHN,OF
minnp101,Minner,Paul,L,L,CHN,P
nortr101,Northey,Ron,L,R,CHN,OF
owenm101,Owen,Mickey,R,R,CHN,C
pafka101,Pafko,Andy,R,R,CHN,OF
ramab101,Ramazzotti,Bob,R,R,CHN,2B
rushb101,Rush,Bob,R,R,CHN,P
saueh101,Sauer,Hank,R,R,CHN,OF
sawac101,Sawatski,Carl,L,R,CHN,C
scheb101,Scheffing,Bob,R,R,CHN,C
schmj101,Schmitz,Johnny,R,L,CHN,P
sereb101,Serena,Bill,R,R,CHN,3B
smalr101,Smalley,Roy,R,R,CHN,SS
terww101,Terwilliger,Wayne,R,R,CHN,2B
vandj101,Vander Meer,Johnny,B,L,CHN,P
varga101,Varga,Andy,R,L,CHN,P
verbe101,Verban,Emil,R,R,CHN,2B
voisb101,Voiselle,Bill,R,R,CHN,P
walkr101,Walker,Rube,L,R,CHN,C
wardp101,Ward,Preston,L,R,CHN,1B
adamb103,Adams,Bobby,R,R,CIN,2B
adcoj101,Adcock,Joe,R,R,CIN,OF
avrej101,Avrea,Jay,R,R,CIN,P
blace102,Blackwell,Ewell,R,R,CIN,P
blooj101,Bloodworth,Jimmy,R,R,CIN,2B
bolgj101,Bolger,Jim,R,R,CIN,OF
byerb103,Byerly,Bud,R,R,CIN,P
coopw102,Cooper,Walker,R,R,CIN,C
eraue101,Erautt,Eddie,R,R,CIN,P
fox-h101,Fox,Howie,R,R,CIN,P
hattg101,Hatton,Grady,L,R,CIN,3B
hetkj101,Hetki,Johnny,R,R,CIN,P
howed102,Howell,Dixie,R,R,CIN,C
klust101,Kluszewski,Ted,L,L,CIN,1B
landh101,Landrith,Hobie,L,R,CIN,C
litwd101,Litwhiler,Danny,R,R,CIN,OF
lowrp101,Lowrey,Peanuts,R,R,CIN,OF
meeks101,Meeks,Sammy,R,R,CIN,SS
merrl102,Merriman,Lloyd,L,L,CIN,OF
nortr101,Northey,Ron,L,R,CIN,OF
perkh101,Perkowski,Harry,L,L,CIN,P
petek101,Peterson,Kent,R,L,CIN,P
pramj101,Pramesa,Johnny,R,R,CIN,C
rackm101,Rackley,Marv,L,L,CIN,PR
raffk101,Raffensberger,Ken,R,L,CIN,P
ramsw101,Ramsdell,Willie,R,R,CIN,P
ryanc102,Ryan,Connie,R,R,CIN,2B
scheb101,Scheffing,Bob,R,R,CIN,C
smitf104,Smith,Frank,R,R,CIN,P
stalv101,Stallcup,Virgil,R,R,CIN,SS
tappt101,Tappe,Ted,L,R,CIN,PH
usheb101,Usher,Bob,R,R,CIN,OF
wehmh101,Wehmeier,Herm,R,R,CIN,P
wyroj101,Wyrostek,Johnny,L,R,CIN,OF
abera101,Aber,Al,L,L,CLE,P
avilb101,Avila,Bobby,R,R,CLE,2B
bearg102,Bearden,Gene,L,L,CLE,P
benta101,Benton,Al,R,R,CLE,P
beraj101,Berardino,Johnny,R,R,CLE,2B
boonr101,Boone,Ray,R,R,CLE,SS
